n,lam_cov,median_ratio,p95_ratio,max_ratio,match_pct
4,0.25,1.0,1.0000000000000002,4.446035247157024,82.0
4,0.5,1.0,1.132260961442922,5.0,76.66666666666667
4,0.75,1.0,2.033323117270608,5.0,62.66666666666667
6,0.25,1.0,1.0,5.0,72.66666666666667
6,0.5,1.0,1.0,2.508200987685629,71.33333333333334
6,0.75,1.0,1.0,1.9918662679596357,56.666666666666664
8,0.25,1.0,1.0,1.5180527574282467,68.66666666666667
8,0.5,1.0,1.0,2.8526985615768043,65.33333333333333
8,0.75,1.0,1.0,4.322791544699964,40.33333333333333
10,0.25,1.0,1.0,1.0,62.33333333333333
10,0.5,1.0,1.0,1.000000000000002,59.0
10,0.75,1.0,1.0,1.5718477037500915,36.333333333333336
12,0.25,1.0,1.0,1.0,63.33333333333333
12,0.5,1.0,1.0,1.4411361583399869,55.666666666666664
12,0.75,1.0,1.0,3.772737834666585,29.333333333333332
